level,text_korean,text_english,source,,원본: [스토리즈] 2607_지문 (한글타자).xlsm
1,"저는 어제 커피를 많이 마셨어요.
배가 아팠어요.
이제 커피를 안 마셔요.
이제 보리차를 마셔요.
한국 사람들은 보리차를 많이 마셔요.
보리차는 맛있어요.
배가 아파요?
그러면 보리차를 마셔요.
물이 맛없어요?
그러면 보리차를 마셔요.","I drank a lot of coffee yesterday.
My stomach hurt.
I don’t drink coffee anymore.
Now I drink barley tea.
Korean people drink a lot of barley tea.
Barley tea is delicious.
Does your stomach hurt?
Then drink barley tea.
Does the water taste bad?
Then have some barley tea.",TTMIK Stories Level 1 Articles 보리차를 마셔요,,
1,"여기에서 밥을 먹어요.
여기에서 자요.
여기에서 게임을 해요.
여기에서 쉬어요.
여기에서 놀아요.
여기에서 목욕을 해요.
여기는 따뜻해요.
여기는 재미있어요.
여기는 어디예요?
여기는 ‘찜질방’이에요.","I eat rice (a meal) here.
I sleep here.
I play games here.
I rest here.
I hang out here.
I take a bath here.
It's warm here.
It is fun here.
Where is this place?
This is a ‘jjimjilbang’ (Korean sauna).",TTMIK Stories Level 1 Articles 찜질방에서 뭐 해요?,,
1,"우리 집 근처 백화점은 1층에 화장실이 없어요.
시계도 없어요.
왜요?
1층에 화장실이 있어요.
그러면 사람들이 화장실만 가요.
옷을 안 사요.
그래서 2층부터 화장실이 있어요.
시계가 있어요.
그러면 사람들이 시계를 봐요.
빨리 집에 가요.
옷을 안 사요.
그래서 시계가 없어요.","The department store near my house doesn't have a restroom on the first floor.
There's also no clock.
Why?
There is a restroom on the first floor.
Then people only go to the restroom.
They don’t buy clothes.
So, there are restrooms starting from the second floor.
There is a clock.
Then people look at the clock.
They go home early.
They don’t buy clothes.
So, there is no clock.",TTMIK Stories Level 1 Articles 화장실이 없어요,,
1,"이번 여름 방학에 여행을 해요.
부산에 가요.
저는 바다를 좋아해요.
부산에서 바다를 보고 싶어요.
바다에서 사진을 찍고 싶어요.
시장에 가고 싶어요.
시장에서 호떡을 먹고 싶어요.
부산에 친구가 있어요.
친구를 만나고 싶어요.","I’m going on a trip this summer vacation.
I'm going to Busan.
I like the sea.
I want to see the sea in Busan.
I want to take photos at the sea.
I want to go to the market.
I want to eat hotteok at the market.
I have a friend in Busan.
I want to meet my friend.",TTMIK Stories Level 1 Articles 부산에 가요,,
1,"저는 한국 친구가 있어요.
그 친구랑 저는 학교에서 옆자리에 앉았어요.
어느 날, 저는 지우개를 안 가지고 왔어요.
그 친구가 지우개를 빌려줬어요.
한국 과자도 줬어요.
우리는 친해졌어요.
그 친구는 작년에 한국에 돌아갔어요.
그 친구를 다시 만나고 싶어요.
한국에 가고 싶어요.","I have a Korean friend.
That friend and I sat next to each other at school.
One day, I didn’t bring an eraser.
That friend lent me an eraser.
They also gave me Korean snacks.
We became close.
That friend went back to Korea last year.
I want to see that friend again.
I want to go to Korea.",TTMIK Stories Level 1 Articles 한국 친구,,
1,"저는 수영을 배워요.
토요일에 수영장에 가요.
아침부터 점심까지 수영을 해요.
수영장에 사람이 많아요.
사람들이 모두 수영을 해요.
수영 선생님이 친절해요.
수영이 재미있어요.
다음 주에 바다에 가요.
바다에서 수영을 하고 싶어요.","I learn swimming.
I go to the swimming pool on Saturday.
I swim from the morning until lunchtime.
There are many people at the swimming pool.
Everyone swims.
The swimming teacher is kind.
Swimming is fun.
I go to the sea next week.
I want to swim in the sea.",TTMIK Stories Level 1 Articles 수영을 배워요,,
1,"이것은 뭐예요?
이것은 한국 음식이에요.
한국 사람들은 여름에 이것을 먹어요.
날씨가 더워요.
너무 피곤해요.
그러면 이것을 먹어요.
이것은 차갑지 않아요.
뜨거워요.
이것은 맛있어요.
건강에 좋아요.
맞아요!
이것은 삼계탕이에요.","What is this?
This is Korean food.
Korean people eat this in the summer.
The weather is hot.
I'm very tired.
In that case, eat this.
This is not cold.
It's hot.
This is delicious.
It's good for your health.
That's right!
This is samgyetang.",TTMIK Stories Level 1 Articles 삼계탕을 먹어요,,
1,"어제 친구를 만났어요.
PC방에 갔어요.
PC방에서 게임을 했어요.
카페에 갔어요.
카페에서 커피를 마셨어요.
식당에 갔어요.
식당에서 비빔밥을 먹었어요.
어제 정말 재미있었어요.
친구를 또 만나고 싶어요.
같이 놀고 싶어요.","I met my friend yesterday.
I went to the internet café.
I played games at the internet café.
I went to the cafe.
I drank coffee at the cafe.
I went to the restaurant.
I ate bibimbap at the restaurant.
Yesterday was really fun.
I want to meet my friend again.
I want to hang out together.",TTMIK Stories Level 1 Articles 어제 친구를 만났어요,,
1,"저는 매일 학교에 가요.
저는 월요일부터 금요일까지 학교에 가요.
주말에는 안 가요.
아침부터 저녁까지 수업이 있어요.
수업은 9시에 시작해요.
하지만 저는 7시 30분까지 학교에 가요.
왜요?
저는 학생이 아니에요.
저는 선생님이에요.","I go to school every day.
I go to school from Monday to Friday.
I don't go on weekends.
We have classes from morning until evening.
Classes start at 9 o’clock.
But I go to school by 7:30.
Why?
I am not a student.
I am a teacher.",TTMIK Stories Level 1 Articles 매일 학교에 가요,,
1,"우리 동네에 도서관이 생겼어요.
1층에 커피숍이 있어요.
화장실이 있어요.
어린이 책이 있어요.
2층부터 3층까지 어른 책이 있어요.
사람들이 여기에서 책을 읽어요.
4층에는 컴퓨터실이 있어요.
책은 없어요.
여기에서 영화를 봐요.
저는 4층이 좋아요.","A library opened in our neighborhood.
There is a coffee shop on the first floor.
There is a restroom.
There are children's books.
There are books for adults on the second and third floors. 
People read books here.
There is a computer room on the fourth floor.
There are no books.
People watch movies here. 
I like the fourth floor.",TTMIK Stories Level 1 Articles 도서관이 생겼어요,,
1,"저는 기숙사에 살아요.
기숙사가 좋아요.
기숙사에 책상이 있어요.
침대가 있어요.
창문이 있어요.
저는 기숙사에서 숙제해요.
게임해요.
자요.
기숙사에서 요리는 하지 않아요.
술을 마시지 않아요.
담배를 피우지 않아요.","I live in the dormitory.
The dormitory is nice.
There is a desk in the dormitory.
There is a bed.
There is a window.
I do my homework in the dormitory.
I play games.
I sleep.
I don't cook in the dormitory.
I don't drink alcohol.
I don't smoke.",TTMIK Stories Level 1 Articles 기숙사에 살아요,,
1,"여러분은 아침을 먹어요?
저는 매일 아침을 먹어요.
사과, 계란을 먹어요.
건강에 좋아요.
제 친구는 아침에 우유를 마셔요.
저는 우유를 안 마셔요.
배가 아파요.
그래서 물을 마셔요.
건강에 좋아요.","Do you eat breakfast?
I eat breakfast every day.
I  eat apples and eggs.
It's good for your health.
My friend drinks milk in the morning.
I don't drink milk.
My stomach hurts.
So I drink water.
It's good for your health.",TTMIK Stories Level 1 Articles 아침을 먹어요,,
