level,text_korean,text_english,source
1,가,,
1,개,,
1,갸,,
1,거,,
1,게,,
1,겨,,
1,고,,
1,교,,
1,구,,
1,규,,
1,그,,
1,기,,
1,나,,
1,내,,
1,냐,,
1,너,,
1,네,,
1,녀,,
1,노,,
1,뇨,,
1,누,,
1,뉴,,
1,느,,
1,니,,
1,다,,
1,대,,
1,댜,,
1,더,,
1,데,,
1,뎌,,
1,도,,
1,됴,,
1,두,,
1,듀,,
1,드,,
1,디,,
1,라,,
1,래,,
1,랴,,
1,러,,
1,레,,
1,려,,
1,로,,
1,료,,
1,루,,
1,류,,
1,르,,
1,리,,
1,마,,
1,매,,
1,먀,,
1,머,,
1,메,,
1,며,,
1,모,,
1,묘,,
1,무,,
1,뮤,,
1,므,,
1,미,,
1,바,,
1,배,,
1,뱌,,
1,버,,
1,베,,
1,벼,,
1,보,,
1,뵤,,
1,부,,
1,뷰,,
1,브,,
1,비,,
1,사,,
1,새,,
1,샤,,
1,서,,
1,세,,
1,셔,,
1,소,,
1,쇼,,
1,수,,
1,슈,,
1,스,,
1,시,,
1,아,,
1,애,,
1,야,,
1,어,,
1,에,,
1,여,,
1,오,,
1,요,,
1,우,,
1,유,,
1,으,,
1,이,,
1,자,,
1,재,,
1,쟈,,
1,저,,
1,제,,
1,져,,
1,조,,
1,죠,,
1,주,,
1,쥬,,
1,즈,,
1,지,,
1,차,,
1,채,,
1,챠,,
1,처,,
1,체,,
1,쳐,,
1,초,,
1,쵸,,
1,추,,
1,츄,,
1,츠,,
1,치,,
1,카,,
1,캐,,
1,캬,,
1,커,,
1,케,,
1,켜,,
1,코,,
1,쿄,,
1,쿠,,
1,큐,,
1,크,,
1,키,,
1,타,,
1,태,,
1,탸,,
1,터,,
1,테,,
1,텨,,
1,토,,
1,툐,,
1,투,,
1,튜,,
1,트,,
1,티,,
1,파,,
1,패,,
1,퍄,,
1,퍼,,
1,페,,
1,펴,,
1,포,,
1,표,,
1,푸,,
1,퓨,,
1,프,,
1,피,,
1,하,,
1,해,,
1,햐,,
1,허,,
1,헤,,
1,혀,,
1,호,,
1,효,,
1,후,,
1,휴,,
1,흐,,
1,히,,
2,걔,,
2,계,,
2,과,,
2,괘,,
2,괴,,
2,궈,,
2,궤,,
2,귀,,
2,긔,,
2,까,,
2,깨,,
2,꺄,,
2,꺼,,
2,께,,
2,껴,,
2,꼬,,
2,꾜,,
2,꾸,,
2,뀨,,
2,끄,,
2,끼,,
2,냬,,
2,녜,,
2,놔,,
2,놰,,
2,뇌,,
2,눠,,
2,눼,,
2,뉘,,
2,늬,,
2,댸,,
2,뎨,,
2,돠,,
2,돼,,
2,되,,
2,둬,,
2,뒈,,
2,뒤,,
2,듸,,
2,따,,
2,때,,
2,땨,,
2,떠,,
2,떼,,
2,뗘,,
2,또,,
2,뚀,,
2,뚜,,
2,뜌,,
2,뜨,,
2,띠,,
2,럐,,
2,례,,
2,롸,,
2,뢔,,
2,뢰,,
2,뤄,,
2,뤠,,
2,뤼,,
2,릐,,
2,먜,,
2,몌,,
2,뫄,,
2,뫠,,
2,뫼,,
2,뭐,,
2,뭬,,
2,뮈,,
2,믜,,
2,봐,,
2,봬,,
2,뵈,,
2,붜,,
2,붸,,
2,뷔,,
2,븨,,
2,빠,,
2,빼,,
2,뺘,,
2,뻐,,
2,뻬,,
2,뼈,,
2,뽀,,
2,뾰,,
2,뿌,,
2,쀼,,
2,쁘,,
2,삐,,
2,섀,,
2,셰,,
2,솨,,
2,쇄,,
2,쇠,,
2,숴,,
2,쉐,,
2,쉬,,
2,싀,,
2,싸,,
2,쌔,,
2,쌰,,
2,써,,
2,쎄,,
2,쎠,,
2,쏘,,
2,쑈,,
2,쑤,,
2,쓔,,
2,쓰,,
2,씨,,
2,얘,,
2,예,,
2,와,,
2,왜,,
2,외,,
2,워,,
2,웨,,
2,위,,
2,의,,
2,쟤,,
2,졔,,
2,좌,,
2,좨,,
2,죄,,
2,줘,,
2,줴,,
