level,text_korean,text_english,source,parts of speech
1,나,"I, me",My First 500 Korean Words Book 1,명사
1,회사원,company employee,My First 500 Korean Words Book 1,명사
1,너무 ,"too, very",My First 500 Korean Words Book 1,부사
1,바쁘다,to be busy,My First 500 Korean Words Book 1,형용사
1,우리,"we, our",My First 500 Korean Words Book 1,명사
1,보통,"usually, usual, regular",My First 500 Korean Words Book 1,부사
1,주말,weekend,My First 500 Korean Words Book 1,명사
1,만나다,to meet,My First 500 Korean Words Book 1,동사
1,영화,movie,My First 500 Korean Words Book 1,명사
2,카페 ,cafe,My First 500 Korean Words Book 1,명사
1,매일 ,every day,My First 500 Korean Words Book 1,부사
1,일찍 ,early,My First 500 Korean Words Book 1,부사
1,일어나다,"to get up, to wake up",My First 500 Korean Words Book 1,동사
1,물,water,My First 500 Korean Words Book 1,명사
1,마시다,to drink,My First 500 Korean Words Book 1,동사
1,세수,washing one's face,My First 500 Korean Words Book 1,명사
1,옷,clothes,My First 500 Korean Words Book 1,명사
1,입다,"to wear, to put on",My First 500 Korean Words Book 1,동사
3,화장,make-up,My First 500 Korean Words Book 1,명사
1,회사,company,My First 500 Korean Words Book 1,명사
1,시험,"test, exam",My First 500 Korean Words Book 1,명사
1,의자,chair,My First 500 Korean Words Book 1,명사
1,책상,desk,My First 500 Korean Words Book 1,명사
2,더럽다,to be dirty,My First 500 Korean Words Book 1,형용사
1,위,"up, top",My First 500 Korean Words Book 1,명사
1,청소,cleaning,My First 500 Korean Words Book 1,명사
1,깨끗하다 ,to be clean,My First 500 Korean Words Book 1,형용사
1,공책,notebook,My First 500 Korean Words Book 1,명사
1,필통,pencil case,My First 500 Korean Words Book 1,명사
1,시작하다,"to begin, to start",My First 500 Korean Words Book 1,동사
3,배고프다,to be hungry,My First 500 Korean Words Book 1,형용사
2,아까,earlier,My First 500 Korean Words Book 1,부사
1,빵,bread,My First 500 Korean Words Book 1,명사
1,음료수,beverage,My First 500 Korean Words Book 1,명사
1,주다,to give,My First 500 Korean Words Book 1,동사
1,지금,now,My First 500 Korean Words Book 1,부사
3,배부르다,to be full (opposite of hungry),My First 500 Korean Words Book 1,형용사
2,졸다,to doze,My First 500 Korean Words Book 1,동사
1,선생님,teacher,My First 500 Korean Words Book 1,명사
2,무섭다,"to be scary, to be scared",My First 500 Korean Words Book 1,형용사
2,어린이,child,My First 500 Korean Words Book 1,명사
1,학교,school,My First 500 Korean Words Book 1,명사
1,가족,family,My First 500 Korean Words Book 1,명사
1,공원,park,My First 500 Korean Words Book 1,명사
1,많다,"to be a lot, to be numerous",My First 500 Korean Words Book 1,형용사
2,어른,"adult, grown-up",My First 500 Korean Words Book 1,명사
1,아기,baby,My First 500 Korean Words Book 1,명사
1,적다,"to be few, to be little",My First 500 Korean Words Book 1,형용사
3,신기하다,"to be interesting, to be fascinating",My First 500 Korean Words Book 1,형용사
1,어떻게,how,My First 500 Korean Words Book 1,부사
1,겨울 ,winter,My First 500 Korean Words Book 1,명사
1,방학,school vacation,My First 500 Korean Words Book 1,명사
1,할머니,grandmother,My First 500 Korean Words Book 1,명사
1,가다,to go,My First 500 Korean Words Book 1,동사
1,버스,bus,My First 500 Korean Words Book 1,명사
1,지하철,subway,My First 500 Korean Words Book 1,명사
1,타다,to ride,My First 500 Korean Words Book 1,동사
1,고양이,cat,My First 500 Korean Words Book 1,명사
2,동물,animal,My First 500 Korean Words Book 1,명사
1,놀다,"to hang out, to play",My First 500 Korean Words Book 1,동사
1,휴가 ,"vacation, leave",My First 500 Korean Words Book 1,명사
1,남자,man,My First 500 Korean Words Book 1,명사
1,여자,woman,My First 500 Korean Words Book 1,명사
3,샴푸,shampoo,My First 500 Korean Words Book 1,명사
3,린스,hair conditioner,My First 500 Korean Words Book 1,명사
2,속옷,underwear,My First 500 Korean Words Book 1,명사
2,양말,socks,My First 500 Korean Words Book 1,명사
3,드라이기,hairdryer,My First 500 Korean Words Book 1,명사
1,바지,pants,My First 500 Korean Words Book 1,명사
1,티셔츠,t-shirt,My First 500 Korean Words Book 1,명사
1,누나,older sister (for a boy),My First 500 Korean Words Book 1,명사
1,텔레비전,television,My First 500 Korean Words Book 1,명사
1,드라마,TV drama,My First 500 Korean Words Book 1,명사
1,뉴스,news,My First 500 Korean Words Book 1,명사
2,싸우다,"to fight, to argue",My First 500 Korean Words Book 1,동사
2,지다 ,to lose,My First 500 Korean Words Book 1,동사
1,방,room,My First 500 Korean Words Book 1,명사
1,닫다,to close,My First 500 Korean Words Book 1,동사
1,음악,music,My First 500 Korean Words Book 1,명사
1,듣다,"to listen, to hear",My First 500 Korean Words Book 1,동사
1,개 ,dog,My First 500 Korean Words Book 1,명사
1,있다 ,"to exist, to have, to be (at a place)",My First 500 Korean Words Book 1,형용사
1,이름,name,My First 500 Korean Words Book 1,명사
1,시간,time,My First 500 Korean Words Book 1,명사
1,살다,to live,My First 500 Korean Words Book 1,동사
2,죽다 ,to die,My First 500 Korean Words Book 1,동사
1,슬프다,to be sad,My First 500 Korean Words Book 1,형용사
1,동생,younger brother or sister,My First 500 Korean Words Book 1,명사
1,울다 ,to cry,My First 500 Korean Words Book 1,동사
2,눈물,tear,My First 500 Korean Words Book 1,명사
1,수영,swimming,My First 500 Korean Words Book 1,명사
2,수건,towel,My First 500 Korean Words Book 1,명사
1,가게,store,My First 500 Korean Words Book 1,명사
1,돈,money,My First 500 Korean Words Book 1,명사
1,빌리다,"to borrow, to rent",My First 500 Korean Words Book 1,동사
2,비누,soap,My First 500 Korean Words Book 1,명사
2,차갑다,to be cold,My First 500 Korean Words Book 1,형용사
2,어깨,shoulder,My First 500 Korean Words Book 1,명사
2,힘,"strength, power",My First 500 Korean Words Book 1,명사
1,가르치다,to teach,My First 500 Korean Words Book 1,동사
1,내일 ,tomorrow,My First 500 Korean Words Book 1,명사
1,친하다,to be close (with someone),My First 500 Korean Words Book 1,형용사
1,쓰다,"to write, to use, to be bitter",My First 500 Korean Words Book 1,동사
1,받다,to receive,My First 500 Korean Words Book 1,동사
1,기쁘다,"to be glad, to be happy",My First 500 Korean Words Book 1,형용사
1,선물,"present, gift",My First 500 Korean Words Book 1,명사
1,무엇,what,My First 500 Korean Words Book 1,부사
1,좋다,to be good,My First 500 Korean Words Book 1,형용사
2,귀고리,earrings,My First 500 Korean Words Book 1,명사
2,목걸이,necklace,My First 500 Korean Words Book 1,명사
1,오늘,today,My First 500 Korean Words Book 1,명사
1,생일,birthday,My First 500 Korean Words Book 1,명사
1,교실 ,classroom,My First 500 Korean Words Book 1,명사
1,먹다,to eat,My First 500 Korean Words Book 1,동사
1,친구,friend,My First 500 Korean Words Book 1,명사
1,노래,song,My First 500 Korean Words Book 1,명사
1,춤,dance,My First 500 Korean Words Book 1,명사
1,축하하다,"to congratulate, to celebrate",My First 500 Korean Words Book 1,동사
1,재미있다,to be fun,My First 500 Korean Words Book 1,형용사
1,하루,"day, one day",My First 500 Korean Words Book 1,명사
2,아빠,dad,My First 500 Korean Words Book 1,명사
1,바다,"sea, ocean",My First 500 Korean Words Book 1,명사
1,걷다,to walk,My First 500 Korean Words Book 1,동사
1,식당,restaurant,My First 500 Korean Words Book 1,명사
1,맛있다,to be delicious,My First 500 Korean Words Book 1,형용사
1,음식,food,My First 500 Korean Words Book 1,명사
1,커피,coffee,My First 500 Korean Words Book 1,명사
2,별,star,My First 500 Korean Words Book 1,명사
1,보다,"to see, to watch, to meet",My First 500 Korean Words Book 1,동사
2,행복하다,to be happy,My First 500 Korean Words Book 1,형용사
1,여름,summer,My First 500 Korean Words Book 1,명사
1,싫어하다 ,"to dislike, to hate",My First 500 Korean Words Book 1,동사
1,덥다,to be hot,My First 500 Korean Words Book 1,형용사
1,밖,outside,My First 500 Korean Words Book 1,명사
1,나가다,to go out,My First 500 Korean Words Book 1,동사
1,집,"house, home",My First 500 Korean Words Book 1,명사
1,에어컨,air conditioner,My First 500 Korean Words Book 1,명사
1,켜다,to turn on,My First 500 Korean Words Book 1,동사
1,시원하다,to be cool (temperature),My First 500 Korean Words Book 1,형용사
2,얼음 ,ice,My First 500 Korean Words Book 1,명사
2,벌써,already,My First 500 Korean Words Book 1,부사
1,밤,night,My First 500 Korean Words Book 1,명사
1,침대,bed,My First 500 Korean Words Book 1,명사
2,눕다,to lie down,My First 500 Korean Words Book 1,동사
1,잠,sleep,My First 500 Korean Words Book 1,명사
1,화장실,bathroom,My First 500 Korean Words Book 1,명사
1,책,book,My First 500 Korean Words Book 1,명사
1,읽다,to read,My First 500 Korean Words Book 1,동사
2,냉장고,refrigerator,My First 500 Korean Words Book 1,명사
1,우유,milk,My First 500 Korean Words Book 1,명사
1,컵,cup,My First 500 Korean Words Book 1,명사
2,뜨겁다,to be hot,My First 500 Korean Words Book 1,형용사
1,컴퓨터,computer,My First 500 Korean Words Book 1,명사
3,이메일,e-mail,My First 500 Korean Words Book 1,명사
3,노트북,laptop computer,My First 500 Korean Words Book 1,명사
3,충전하다,to charge,My First 500 Korean Words Book 1,동사
2,중요하다,to be important,My First 500 Korean Words Book 1,형용사
2,거울,mirror,My First 500 Korean Words Book 1,명사
2,화장품,make-up product,My First 500 Korean Words Book 1,명사
2,바르다,"to apply, to put on",My First 500 Korean Words Book 1,동사
1,옆,"side, next to",My First 500 Korean Words Book 1,명사
2,부부,married couple,My First 500 Korean Words Book 1,명사
1,초대,invitation,My First 500 Korean Words Book 1,명사
1,오후,afternoon,My First 500 Korean Words Book 1,명사
1,도착,arrival,My First 500 Korean Words Book 1,명사
1,딸,daughter,My First 500 Korean Words Book 1,명사
2,나이,age,My First 500 Korean Words Book 1,명사
1,같다,"to be the same, to be like",My First 500 Korean Words Book 1,형용사
2,유치원,kindergarten,My First 500 Korean Words Book 1,명사
1,사이,"relationship, relation",My First 500 Korean Words Book 1,명사
2,아들 ,son,My First 500 Korean Words Book 1,명사
1,게임,game,My First 500 Korean Words Book 1,명사
1,요일,day of the week,My First 500 Korean Words Book 1,명사
1,아침,morning,My First 500 Korean Words Book 1,명사
1,점심,lunch,My First 500 Korean Words Book 1,명사
1,밥,"rice, food, meal",My First 500 Korean Words Book 1,명사
2,화나다,"to feel angry, to get angry",My First 500 Korean Words Book 1,동사
2,걱정,"worry, concern",My First 500 Korean Words Book 1,명사
1,왜,why,My First 500 Korean Words Book 1,부사
1,공부,study,My First 500 Korean Words Book 1,명사
2,느낌,feeling,My First 500 Korean Words Book 1,명사
2,달력,calendar,My First 500 Korean Words Book 1,명사
1,날짜,date,My First 500 Korean Words Book 1,명사
2,모양,shape,My First 500 Korean Words Book 1,명사
1,아래 ,"down, below",My First 500 Korean Words Book 1,명사
1,전화번호 ,phone number,My First 500 Korean Words Book 1,명사
2,잊어버리다 ,to forget,My First 500 Korean Words Book 1,동사
1,빨리,"fast, quickly",My First 500 Korean Words Book 1,부사
2,예약 ,reservation,My First 500 Korean Words Book 1,명사
1,출발하다,to depart,My First 500 Korean Words Book 1,동사
2,시골,countryside,My First 500 Korean Words Book 1,명사
2,도시,city,My First 500 Korean Words Book 1,명사
2,시끄럽다,to be noisy,My First 500 Korean Words Book 1,형용사
1,조용하다,to be quiet,My First 500 Korean Words Book 1,형용사
1,등산,hiking,My First 500 Korean Words Book 1,명사
1,높다 ,to be high,My First 500 Korean Words Book 1,형용사
1,낮다,to be low,My First 500 Korean Words Book 1,형용사
2,해,the sun,My First 500 Korean Words Book 1,명사
2,어둡다,to be dark,My First 500 Korean Words Book 1,형용사
2,내려가다,to go down,My First 500 Korean Words Book 1,동사
2,연예인,"entertainer, celebrity",My First 500 Korean Words Book 1,명사
1,누구,who,My First 500 Korean Words Book 1,부사
1,키,one's height,My First 500 Korean Words Book 1,명사
1,크다,to be big,My First 500 Korean Words Book 1,형용사
1,웃다,"to laugh, to smile",My First 500 Korean Words Book 1,동사
1,얼굴,face,My First 500 Korean Words Book 1,명사
2,귀엽다,to be cute,My First 500 Korean Words Book 1,형용사
1,눈1,eye,My First 500 Korean Words Book 1,명사
1,다리,leg,My First 500 Korean Words Book 1,명사
1,길다,to be long,My First 500 Korean Words Book 1,형용사
1,언니,older sister (for a girl),My First 500 Korean Words Book 1,명사
1,같이,together,My First 500 Korean Words Book 1,부사
1,여행,travel,My First 500 Korean Words Book 1,명사
1,비행기,airplane,My First 500 Korean Words Book 1,명사
1,처음,"beginning, for the first time",My First 500 Korean Words Book 1,명사
1,창문,window,My First 500 Korean Words Book 1,명사
1,앉다,to sit,My First 500 Korean Words Book 1,동사
1,이따가,later,My First 500 Korean Words Book 1,부사
